Filename,Leading,Trailing,Length,isFiller,Condition_Q,Condition_GP,Participant,Item
210.37FDN_r2.wav,4589,NA,9750,True,False,False,210,37
210.40FDN_r1.wav,540,1455,5895,True,False,False,210,40
210.27FQY_r2.wav,8400,2266,15646,True,True,True,210,27
210.9EQY_r2.wav,6090,NA,11111,False,True,True,210,9
210.37FDN_r1.wav,450,812,5102,True,False,False,210,37
210.40FDN_r2.wav,4559,NA,8843,True,False,False,210,40
210.27FQY_r1.wav,810,1032,5442,True,True,True,210,27
210.9EQY_r1.wav,570,212,7142,False,True,True,210,9
210.2EDY_r1.wav,780,NA,5555,False,False,True,210,2
210.10EDY_r1.wav,660,NA,4875,False,False,True,210,10
210.6EDN_r1.wav,930,NA,4308,False,False,False,210,6
210.14EDN_r1.wav,1560,595,5215,False,False,False,210,14
210.19FQY_r1.wav,1140,NA,7823,True,True,True,210,19
210.46FDN_r1.wav,1020,718,5668,True,False,False,210,46
210.21FQY_r2.wav,3929,233,8843,True,True,True,210,21
210.2EDY_r2.wav,1050,NA,10544,False,False,True,210,2
210.10EDY_r2.wav,5099,870,9750,False,False,True,210,10
210.6EDN_r2.wav,3269,296,7256,False,False,False,210,6
210.14EDN_r2.wav,5880,374,10544,False,False,False,210,14
210.19FQY_r2.wav,NA,900,9750,True,True,True,210,19
210.46FDN_r2.wav,5940,668,11678,True,False,False,210,46
210.21FQY_r1.wav,900,292,5782,True,True,True,210,21
210.32FDY_r2.wav,4589,556,8956,True,False,True,210,32
210.36FQN_r2.wav,4379,NA,8616,True,True,False,210,36
210.26FQY_r2.wav,3479,898,13378,True,True,True,210,26
210.41FDN_r1.wav,540,2629,7369,True,False,False,210,41
210.5EDY_r1.wav,840,NA,6009,False,False,True,210,5
210.13EQN_r1.wav,1230,155,4535,False,True,False,210,13
210.32FDY_r1.wav,840,NA,3968,True,False,True,210,32
210.36FQN_r1.wav,630,NA,4421,True,True,False,210,36
210.26FQY_r1.wav,780,1539,7029,True,True,True,210,26
210.41FDN_r2.wav,5430,NA,9183,True,False,False,210,41
210.13EQN_r2.wav,4829,920,9410,False,True,False,210,13
210.5EDY_r2.wav,5340,NA,9410,False,False,True,210,5
210.18FQY_r1.wav,840,532,5782,True,True,True,210,18
210.7EQN_r1.wav,510,829,6349,False,True,False,210,7
210.3EDY_r1.wav,1290,452,6122,False,False,True,210,3
210.20FQY_r2.wav,5580,710,10430,True,True,True,210,20
210.47FDN_r1.wav,750,161,4421,True,False,False,210,47
210.18FQY_r2.wav,4739,1087,10657,True,True,True,210,18
210.7EQN_r2.wav,6330,NA,10770,False,True,False,210,7
210.3EDY_r2.wav,4559,847,9637,False,False,True,210,3
210.20FQY_r1.wav,750,708,5328,True,True,True,210,20
210.47FDN_r2.wav,2849,959,7709,True,False,False,210,47
210.38FDN_r1.wav,1110,902,7142,True,False,False,210,38
210.35FDN_r2.wav,3779,430,9070,True,False,False,210,35
210.42FDN_r1.wav,450,NA,4421,True,False,False,210,42
210.25FDY_r2.wav,1470,NA,9863,True,False,True,210,25
210.31FDY_r2.wav,4769,780,9750,True,False,True,210,31
210.28FQY_r1.wav,750,1462,5782,True,True,True,210,28
210.38FDN_r2.wav,4619,2017,10657,True,False,False,210,38
210.35FDN_r1.wav,900,615,4875,True,False,False,210,35
210.42FDN_r2.wav,4799,200,9410,True,False,False,210,42
210.25FDY_r1.wav,600,NA,4648,True,False,True,210,25
210.31FDY_r1.wav,900,NA,4875,True,False,True,210,31
210.28FQY_r2.wav,3389,NA,9750,True,True,True,210,28
210.33FDN_r2.wav,7320,NA,11337,True,False,False,210,33
210.23FQY_r2.wav,2070,1140,8730,True,True,True,210,23
210.44FQN_r1.wav,600,NA,4195,True,True,False,210,44
210.4EDN_r1.wav,960,3036,7596,False,False,False,210,4
210.12EQY_r1.wav,720,752,5102,False,True,True,210,12
210.16EDN_r1.wav,540,241,4081,False,False,False,210,16
210.33FDN_r1.wav,690,1022,5102,True,False,False,210,33
210.23FQY_r1.wav,660,1929,6009,True,True,True,210,23
