filename,participant,GP_condition,Q_condition,item,inter_reading,is_filler
1.10EQN,1,False,True,10,2550,False
1.11EDY,1,True,False,11,2300,False
1.12EDN,1,False,False,12,2800,False
1.13EDY,1,True,False,13,3300,False
1.14EQY,1,True,True,14,1800,False
1.15EDN,1,False,False,15,2300,False
1.16EQY,1,True,True,16,550,False
1.17FDY,1,True,False,17,3350,True
1.18FDY,1,True,False,18,2000,True
1.19FDY,1,True,False,19,4950,True
1.1EDN,1,False,False,1,1600,False
1.20FDY,1,True,False,20,2700,True
1.21FDY,1,True,False,21,1850,True
1.22FDY,1,True,False,22,2250,True
1.23FDY,1,True,False,23,1250,True
1.24FDY,1,True,False,24,3700,True
1.25FQY,1,True,True,25,6700,True
1.26FDY,1,True,False,26,2000,True
1.27FDY,1,True,False,27,4850,True
1.28FDY,1,True,False,28,1100,True
1.29FDY,1,True,False,29,4450,True
1.2EQN,1,False,True,2,2950,False
1.30FQY,1,True,True,30,2250,True
1.31FQY,1,True,True,31,2150,True
1.32FQY,1,True,True,32,4800,True
1.33FQN,1,False,True,33,2700,True
1.34FDN,1,False,False,34,1650,True
1.35FQN,1,False,True,35,4850,True
1.36FDN,1,False,False,36,450,True
1.37FQN,1,False,True,37,1000,True
1.38FQN,1,False,True,38,4850,True
1.39FQN,1,False,True,39,2550,True
1.3EQN,1,False,True,3,5800,False
1.40FQN,1,False,True,40,5600,True
1.41FQN,1,False,True,41,3500,True
1.42FQN,1,False,True,42,3650,True
1.43FQN,1,False,True,43,2800,True
1.44FDN,1,False,False,44,4750,True
1.45FDN,1,False,False,45,2000,True
1.46FQN,1,False,True,46,2350,True
1.47FQN,1,False,True,47,2350,True
1.48FQN,1,False,True,48,1600,True
1.4EQY,1,True,True,4,2700,False
1.5EQN,1,False,True,5,1800,False
1.6EQY,1,True,True,6,1850,False
1.7EDY,1,True,False,7,1400,False
1.8EDY,1,True,False,8,4400,False
1.9EDN,1,False,False,9,1750,False
10.10EDY,10,True,False,10,3400,False
10.11EQN,10,False,True,11,5250,False
10.12EQY,10,True,True,12,2800,False
10.13EQN,10,False,True,13,2450,False
10.14EDN,10,False,False,14,2900,False
10.15EQY,10,True,True,15,3600,False
10.16EDN,10,False,False,16,849,False
10.17FQY,10,True,True,17,3700,True
10.18FQY,10,True,True,18,2400,True
10.19FQY,10,True,True,19,4900,True
10.1EQY,10,True,True,1,4950,False
10.20FQY,10,True,True,20,3400,True
10.21FQY,10,True,True,21,4750,True
10.22FQY,10,True,True,22,3500,True
10.23FQY,10,True,True,23,3950,True
10.24FQY,10,True,True,24,4650,True
10.25FDY,10,True,False,25,2450,True
10.26FQY,10,True,True,26,1499,True
10.27FQY,10,True,True,27,3200,True
10.28FQY,10,True,True,28,1750,True
10.29FQY,10,True,True,29,3200,True
10.2EDY,10,True,False,2,3300,False
10.30FDY,10,True,False,30,4800,True
10.31FDY,10,True,False,31,2350,True
10.32FDY,10,True,False,32,3600,True
10.33FDN,10,False,False,33,4600,True
10.34FQN,10,False,True,34,5250,True
10.35FDN,10,False,False,35,4800,True
10.36FQN,10,False,True,36,5400,True
10.37FDN,10,False,False,37,1749,True
10.38FDN,10,False,False,38,5300,True
10.39FDN,10,False,False,39,3800,True
10.3EDY,10,True,False,3,4300,False
10.40FDN,10,False,False,40,3400,True
10.41FDN,10,False,False,41,5050,True
10.42FDN,10,False,False,42,3500,True
10.43FDN,10,False,False,43,4100,True
10.44FQN,10,False,True,44,3850,True
10.45FQN,10,False,True,45,4600,True
10.46FDN,10,False,False,46,5350,True
10.47FDN,10,False,False,47,3350,True
10.48FDN,10,False,False,48,4650,True
10.4EDN,10,False,False,4,-1,False
10.5EDY,10,True,False,5,1399,False
10.6EDN,10,False,False,6,3400,False
10.7EQN,10,False,True,7,3700,False
10.8EQN,10,False,True,8,4000,False
10.9EQY,10,True,True,9,5550,False
108.10EDN,108,False,False,10,-2,False
108.11EQY,108,True,True,11,-2,False
108.12EQN,108,False,True,12,-2,False
108.13EQY,108,True,True,13,-1,False
108.14EDY,108,True,False,14,-2,False
108.15EQN,108,False,True,15,2399,False
108.16EDY,108,True,False,16,-1,False
108.17FQY,108,True,True,17,-2,True
108.18FQY,108,True,True,18,0,True
108.19FQY,108,True,True,19,1400,True
108.1EQN,108,False,True,1,-2,False
108.20FQY,108,True,True,20,-2,True
108.21FQY,108,True,True,21,-2,True
108.22FQY,108,True,True,22,-2,True
108.23FQY,108,True,True,23,-2,True
108.24FQY,108,True,True,24,19200,True
108.25FDY,108,True,False,25,1350,True
108.26FQY,108,True,True,26,-2,True
108.27FQY,108,True,True,27,-2,True
108.28FQY,108,True,True,28,4499,True
108.29FQY,108,True,True,29,-2,True
108.2EDN,108,False,False,2,-2,False
108.30FDY,108,True,False,30,-2,True
108.31FDY,108,True,False,31,-2,True
108.32FDY,108,True,False,32,-2,True
108.33FDN,108,False,False,33,3149,True
108.34FQN,108,False,True,34,-2,True
108.35FDN,108,False,False,35,-2,True
108.36FQN,108,False,True,36,0,True
108.37FDN,108,False,False,37,-2,True
108.38FDN,108,False,False,38,-2,True
108.39FDN,108,False,False,39,-2,True
108.3EDN,108,False,False,3,-2,False
108.40FDN,108,False,False,40,-2,True
108.41FDN,108,False,False,41,-2,True
108.42FDN,108,False,False,42,-2,True
108.43FDN,108,False,False,43,0,True
108.44FQN,108,False,True,44,-2,True
108.45FQN,108,False,True,45,2900,True
108.46FDN,108,False,False,46,2499,True
108.47FDN,108,False,False,47,400,True
108.48FDN,108,False,False,48,-2,True
108.4EDY,108,True,False,4,-1,False
108.5EDN,108,False,False,5,500,False
108.6EDY,108,True,False,6,1450,False
108.7EQY,108,True,True,7,-2,False
108.8EQY,108,True,True,8,-2,False
108.9EQN,108,False,True,9,-2,False
11.10EQY,11,True,True,10,0,False
11.11EDN,11,False,False,11,1550,False
11.15EDY,11,True,False,15,1049,False
11.16EQN,11,False,True,16,5200,False
11.17FDY,11,True,False,17,849,True
11.18FDY,11,True,False,18,3450,True
11.19FDY,11,True,False,19,3800,True
11.1EDY,11,True,False,1,12650,False
11.21FDY,11,True,False,21,2699,True
11.23FDY,11,True,False,23,3350,True
11.24FDY,11,True,False,24,2149,True
11.25FQY,11,True,True,25,14250,True
11.27FDY,11,True,False,27,1700,True
11.28FDY,11,True,False,28,2249,True
11.29FDY,11,True,False,29,8050,True
11.30FQY,11,True,True,30,8700,True
11.31FQY,11,True,True,31,7550,True
11.32FQY,11,True,True,32,9850,True
